area,clazz,decsription,director,pople_num,ranking,score,title,year
美国,犯罪 剧情,希望让人自由。,弗兰克·德拉邦特 Frank Darabont,1044064人评价,1,9.6,肖申克的救赎,1994
中国大陆 香港,剧情 爱情 同性,风华绝代。,陈凯歌 Kaige Chen,760505人评价,2,9.5,霸王别姬,1993
法国,剧情 动作 犯罪,怪蜀黍和小萝莉不得不说的故事。,吕克·贝松 Luc Besson,975850人评价,3,9.4,这个杀手不太冷,1994
美国,剧情 爱情,一部美国近现代史。,Robert Zemeckis,830920人评价,4,9.4,阿甘正传,1994
意大利,剧情 喜剧 爱情 战争,最美的谎言。,罗伯托·贝尼尼 Roberto Benigni,485573人评价,5,9.5,美丽人生,1997
日本,剧情 动画 奇幻,最好的宫崎骏，最好的久石让。 ,宫崎骏 Hayao Miyazaki,778186人评价,6,9.3,千与千寻,2001
美国,剧情 爱情 灾难,失去的才是永恒的。 ,詹姆斯·卡梅隆 James Cameron,770096人评价,7,9.3,泰坦尼克号,1997
美国,剧情 历史 战争,拯救一个人，就是拯救整个世界。,史蒂文·斯皮尔伯格 Steven Spielberg,441457人评价,8,9.4,辛德勒的名单,1993
美国 英国,剧情 科幻 悬疑 冒险,诺兰给了我们一场无法盗取的梦。,克里斯托弗·诺兰 Christopher Nolan,867564人评价,9,9.3,盗梦空间,2010
美国,爱情 科幻 动画 冒险,小瓦力，大人生。,安德鲁·斯坦顿 Andrew Stanton,568979人评价,10,9.3,机器人总动员,2008
印度,剧情 喜剧 爱情 歌舞,英俊版憨豆，高情商版谢耳朵。,拉库马·希拉尼 Rajkumar Hirani,781238人评价,11,9.2,三傻大闹宝莱坞,2009
意大利,剧情 音乐,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,朱塞佩·托纳多雷 Giuseppe Tornatore,667161人评价,12,9.2,海上钢琴师,1998
美国 英国,剧情,永远都不能忘记你所爱的人。,莱塞·霍尔斯道姆 Lasse Hallström,541468人评价,13,9.2,忠犬八公的故事,2009
法国 瑞士 德国,剧情 音乐,天籁一般的童声，是最接近上帝的存在。 ,克里斯托夫·巴拉蒂 Christophe Barratier,523050人评价,14,9.2,放牛班的春天,2004
香港 中国大陆,喜剧 爱情 奇幻 冒险,一生所爱。,刘镇伟 Jeffrey Lau,572465人评价,15,9.2,大话西游之大圣娶亲,1995
美国,剧情 科幻,如果再也不能见到你，祝你早安，午安，晚安。,彼得·威尔 Peter Weir,545538人评价,16,9.1,楚门的世界,1998
日本,儿童 动画 奇幻 家庭,人人心中都有个龙猫，童年就永远不会消失。,宫崎骏 Hayao Miyazaki,483030人评价,17,9.1,龙猫,1988
美国,剧情 犯罪,千万不要记恨你的对手，这样会让你失去理智。,弗朗西斯·福特·科波拉 Francis Ford Coppola,392003人评价,18,9.2,教父,1972
美国 英国 加拿大 冰岛,剧情 科幻 冒险,爱是一种力量，让我们超越时空感知它的存在。,克里斯托弗·诺兰 Christopher Nolan,573300人评价,19,9.2,星际穿越,2014
韩国,剧情,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,黄东赫 Dong-hyuk Hwang,316900人评价,20,9.2,熔炉,2011
美国,剧情 历史 爱情 战争,Tomorrow is another day.,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,304013人评价,21,9.2,乱世佳人,1939
法国,剧情 喜剧,满满温情的高雅喜剧。,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,424774人评价,22,9.2,触不可及,2011
香港,剧情 犯罪 悬疑,香港电影史上永不过时的杰作。,刘伟强 / 麦兆辉,467319人评价,23,9.1,无间道,2002
美国,剧情 传记 家庭,平民励志片。 ,加布里尔·穆奇诺 Gabriele Muccino,618326人评价,24,8.9,当幸福来敲门,2006
意大利 法国,剧情 爱情,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,朱塞佩·托纳多雷 Giuseppe Tornatore,342525人评价,25,9.1,天堂电影院,1988
美国,剧情 喜剧 爱情,真正的幸福是来自内心深处。,罗伯·莱纳 Rob Reiner,648681人评价,26,8.9,怦然心动,2010
美国,剧情,1957年的理想主义。 ,Sidney Lumet,194488人评价,27,9.4,十二怒汉,1957
美国 台湾 英国 加拿大,剧情 奇幻 冒险,瑰丽壮观、无人能及的冒险之旅。,李安 Ang Lee,650863人评价,28,9.0,少年派的奇幻漂流,2012
美国 德国,剧情 动作 悬疑 惊悚,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,大卫·芬奇 David Fincher,439451人评价,29,9.0,搏击俱乐部,1999
